Time  1 - default sample rate [s]	Rods pressure [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
15.20	21.79	-525.77	1035.9	-476.63	1152.5	-268.97	-414.96	-399.58	970.71	1162.1	-175.90	-12.12	43.53	-181.22	57.50	92.03	
15.30	21.77	-525.76	1035.9	-476.62	1152.5	-268.97	-414.92	-399.62	970.71	1162.1	-175.93	-12.12	43.56	-181.20	57.45	91.97	
15.40	21.75	-525.75	1035.9	-476.63	1152.6	-268.94	-414.82	-399.65	970.70	1162.1	-175.94	-12.09	43.57	-181.20	57.36	91.87	
15.50	21.72	-525.79	1035.9	-476.73	1152.6	-268.91	-414.81	-399.64	970.63	1162.1	-175.89	-12.12	43.61	-181.23	57.24	91.79	
15.60	21.69	-525.81	1035.9	-476.78	1152.5	-268.86	-414.92	-399.64	970.63	1162.1	-175.88	-12.09	43.66	-181.23	57.16	91.69	
15.70	21.68	-525.75	1035.9	-476.75	1152.5	-268.85	-414.94	-399.62	970.68	1162.1	-175.91	-12.05	43.65	-181.22	57.12	91.64	
15.80	21.61	-525.68	1035.9	-476.70	1152.5	-268.89	-414.86	-399.62	970.72	1162.2	-175.95	-12.04	43.58	-181.23	57.06	91.59	
15.90	21.55	-525.69	1035.9	-476.71	1152.6	-268.95	-414.78	-399.61	970.74	1162.3	-176.03	-12.09	43.56	-181.27	56.96	91.51	
16.00	21.52	-525.74	1035.9	-476.75	1152.6	-268.95	-414.74	-399.59	970.76	1162.3	-176.10	-12.18	43.56	-181.28	56.87	91.44	
16.10	21.52	-525.72	1035.9	-476.72	1152.6	-268.92	-414.70	-399.62	970.78	1162.3	-176.07	-12.22	43.57	-181.29	56.81	91.41	
