Date,Time,Temperature,Pressure
06/10/2015,134134.312,36,65535
06/10/2015,134135.312,36,65535
06/10/2015,134136.312,36,65535
06/10/2015,134137.312,36,65535
06/10/2015,134138.312,36,65535
06/10/2015,134139.312,36,65535
06/10/2015,134140.312,36,65535
06/10/2015,134141.312,36,65535
06/10/2015,134142.312,36,65535
06/10/2015,134143.312,36,65535
06/10/2015,134144.312,36,65535
06/10/2015,134145.312,36,65535
06/10/2015,134146.312,36,65535
06/10/2015,134147.312,36,65535
06/10/2015,134148.312,36,65535
06/10/2015,134149.312,36,65535
06/10/2015,134150.312,36,65535
06/10/2015,134151.312,36,65535
06/10/2015,134152.312,36,65535
06/10/2015,134153.312,36,65535
06/10/2015,134154.312,36,65535
06/10/2015,134155.312,36,65535
06/10/2015,134156.312,36,65535
06/10/2015,134157.312,36,65535
06/10/2015,134158.312,36,65535
06/10/2015,134159.312,36,65535
06/10/2015,134200.312,36,65535
06/10/2015,134201.312,36,65535
06/10/2015,134202.312,36,65535
06/10/2015,134203.312,36,65535
06/10/2015,134204.312,36,65535
06/10/2015,134205.312,36,65535
06/10/2015,134206.312,36,65535
06/10/2015,134207.312,36,65535
06/10/2015,134208.312,36,65535
06/10/2015,134209.312,36,65535
06/10/2015,134210.312,36,65535
06/10/2015,134211.312,36,65535
06/10/2015,134212.312,36,65535
06/10/2015,134213.312,36,65535
06/10/2015,134214.312,36,65535
06/10/2015,134215.312,36,65535
06/10/2015,134216.312,36,65535
06/10/2015,134217.312,36,65535
06/10/2015,134218.312,36,65535
06/10/2015,134219.312,36,65535
06/10/2015,134220.312,36,65535
06/10/2015,134221.312,36,65535
06/10/2015,134222.312,36,65535
06/10/2015,134223.312,36,65535
06/10/2015,134224.312,36,65535
06/10/2015,134225.312,36,65535
06/10/2015,134226.312,35,65535
06/10/2015,134227.312,35,65535
06/10/2015,134228.312,35,65535
06/10/2015,134229.312,35,65535
06/10/2015,134230.312,35,65535
06/10/2015,134231.312,35,65535
06/10/2015,134232.312,35,65535
06/10/2015,134233.312,35,65535
06/10/2015,134234.312,35,65535
06/10/2015,134235.312,35,65535
06/10/2015,134236.312,35,65535
06/10/2015,134237.312,35,65535
06/10/2015,134238.312,35,65535
06/10/2015,134239.312,35,65535
06/10/2015,134240.312,35,65535
06/10/2015,134241.312,35,65535
06/10/2015,134242.312,35,65535
06/10/2015,134243.312,35,65535
06/10/2015,134244.312,35,65535
06/10/2015,134245.312,35,65535
06/10/2015,134246.312,35,65535
06/10/2015,134247.312,35,65535
06/10/2015,134248.312,35,65535
06/10/2015,134249.312,35,65535
06/10/2015,134250.312,36,65535
06/10/2015,134251.312,36,65535
06/10/2015,134252.312,36,65535
06/10/2015,134253.312,36,65535
06/10/2015,134254.312,36,65535
06/10/2015,134255.312,36,65535
06/10/2015,134256.312,36,65535
06/10/2015,134257.312,36,65535
06/10/2015,134258.312,35,65535
06/10/2015,134259.312,35,65535
06/10/2015,134300.312,35,65535
06/10/2015,134301.312,35,65535
06/10/2015,134302.312,35,65535
06/10/2015,134303.312,35,65535
06/10/2015,134304.312,35,65535
06/10/2015,134305.312,35,65535
06/10/2015,134306.312,36,65535
06/10/2015,134307.312,36,65535
06/10/2015,134308.312,36,65535
06/10/2015,134309.312,36,65535
06/10/2015,134310.312,36,65535
06/10/2015,134311.312,36,65535
06/10/2015,134312.312,36,65535
06/10/2015,134313.312,36,65535
06/10/2015,134314.312,35,65535
06/10/2015,134315.312,35,65535
06/10/2015,134316.312,35,65535
06/10/2015,134317.312,35,65535
06/10/2015,134318.312,35,65535
06/10/2015,134319.312,35,65535
